|company_name|description
157|BeneStream|BeneStream is a software-as-a-service company providing a low-cost solution to employers facing tough choices under the Affordable Care Act (ACA). New mandates will require large employers to offer costly employer sponsored insurance (ESI) to their entire full-time workforce â€“ or face fines.BeneStream provides a better choice for employers with a low-income workforce: Outsourced enrollment in Medicaid. This solution:â€¢ Saves employers money while complying with ACAâ€¢ Saves employees money and provides them free, comprehensive, family coverage.In 2014, tens of thousands of employers must offer health insurance to tens of millions of employees for the first time. As a result, employers with more than 50 employees are considering financially tough choices:â€¢ Offer ACA-compliant insurance to their low-income workforceâ€¢ Offer no insurance â€“ and risk finesâ€¢ Cut employee hours to part-timeEmployers subject to ACA mandates are asking their benefits advisors for a better choice. BeneStreamâ€™s technology provides it. We help their eligible low-income employees enroll in the federal Medicaid program. This is a win-win solution because:â€¢ It saves employers the cost of insurance for their low-income workforce while complying with the ACAâ€¢ It eliminates the risks of fines for the employer and the employeeâ€¢ It provides free, comprehensive coverage for the employee and their family , without deductibles or cost-sharing.
158|Benson Hill Biosystems|Boosting crop yields on existing acreage and with limited inputs is the foremost challenge in sustainable production agriculture.With the global population projected to reach nine billion by 2050, agricultural output must increase by 70% in this timeframe. As nations such as the United States pursue agriculture-intensive energy policies, demand and price volatility for agriculture commodities will continue to intensify. Diminishing agricultural resources such as arable land and fresh water will further compound this challenge.In the last twenty years, crop yields have improved from intensive breeding programs, increased planting densities, and biotech traits such as insect resistance and herbicide tolerance. However, blockbuster trait releases in recent years are only having single digit percentage impacts on yield. At a time when step changes are needed in crop productivity, yields are plateauing.One contributing factor to the decline in crop development is that nearly all commercial biotech traits are single-gene approaches to protecting yield. But to realize step changes and avoid a yield plateau, we must innovate beyond single-gene approaches to protecting yield, and realize step wise gains by increasing intrinsic yield.Benson Hill is dedicated to delivering substantial production gains to the agriculture sector by advancing biotech-based traits to increase intrinsic yield.
159|Berg|Berg is a cloud-based company that develops and commercializes cloud services for hardware innovators. It helps reduce the cost of invention and increase speed.Berg offers Little Printer, a web-connected printer that creates mini personalized newspapers. It also provides cables, power adapters, and thermal papers as well as software and hardware platforms for the development of web-connected products. Its products are available online in the United Kingdom, the United States, Canada, Australia, and New Zealand.The companyâ€™s plug-and-play configuration makes it simpler and cheaper for its customers to prototype and develop new web-connected products of their own.Berg was founded in 2005 and is based in London, United Kingdom.
160|BestVendor|"BestVendor is a free online resource that helps professionals quickly find the best software, apps, and services based on the recommendations of people like them. The company's vision is to provide a Yelp-like ""social discovery"" resource for all business tools and services, and bring a lot more sharing and openness to the business purchasing process. Beta signup is available at http://www.bestvendor.com"
161|Better Mobile Security|BETTER Mobile Security is an enterprise mobile threat defense company that provides detection, prevention, and remediation against advanced mobile attacks in real time. BETTER gives companies the ability to continuously monitor and defend against known, unknown zero-day attacks. BETTERâ€™s layer of technology can actively detect and prevent malware and potential harmful apps and network attacks, and then stops them before data is breached. BETTER is built for easy deployment and optimized for user and battery performance to seamlessly integrate and operate a shielded mobile environment.
162|BetterCloud|BetterCloud is the first SaaS Operations Management platform, empowering IT to define, remediate, and enforce management and security policies for SaaS applications. Over 2,500 customers in 60+ countries rely on BetterCloud for continuous event monitoring, quickly remediating threats, and fully automating policy enforcement. BetterCloud is headquartered in New York City with an engineering office in Atlanta, GA.
163|Biart|Founded in 2007, BIART is an independent international technology and entertainment products developer. BIART has developed a world class proprietary 3D engine technology. BIART has successfully released games and entertainment products for mobile platforms, PC, Microsoft Xbox 360, Sony PlayStation 3 and Sony PlayStation Portable. BIART maintains technical cooperation with many of the worldâ€™s leading software and technology companies including Qualcomm, Intel Corporation, Electronic Arts, NVIDIA, ARM, AMD and many others.Biart's mission is development and producing of highly technological entertainment projects, that would give unique gaming experience to players.
164|Bidgely|"Bidgely (which means ""electricity"" in Hindi) is a highly energetic and innovative startup working on something that has never been done before. They have developed ground-breaking analytics that can itemize home energy usage data to the appliance level without using any plug-level monitors. Now, they are setting out to deliver this technology to millions of households across the world and help save energy on a massive scale."
165|Bidstalk|Bidstalk is a white label mobile advertising platform, upon which ad agencies, advertisers, publishers and ad exchanges can build their mobile advertising business with absolutely zero investment on technology, to trade mobile ad inventory at scale.Since the platform launch at Mobile World Congress in Febâ€™14, Bidstalk has white labelled 20+ ad agencies and have access to 20+bn mobile ad impressions per day. Led by mobile ad-tech trailblazers, Bidstalk is headquartered in Singapore and have 35+ geeks from advertising, technology & algorithm background.For more information, follow us at twitter (#Bidstalk) or visit us at www.bidstalk.com.
166|Big Frame|Big Frame works with the biggest YouTube influencers to create and market video content.Big Frame is a leading media company in the YouTube entertainment space. Weâ€™re building sustainable media brands around YouTubeâ€™s most influential channels, and connecting advertisers with their highly engaged audiences.YouTubeâ€™s best channels partner with Big Frame to build professional careers by growing their audiences and unlocking lucrative partnerships with advertisers.  We help the best content find the right audiences.  Weâ€™re not trying to sign every channel on YouTube, only the best channels that we can really help â€“ and our partners love us for it.The biggest advertisers in the most competitive industries work with Big Frame to reach active, engaged, and demographically focused audiences. We connect brands with customers through influencers they trust. Our satisfied advertisers include Chevrolet, The Home Depot, Sony, Virgin, Levis, Fox and many, many more.
167|Big Switch Networks|Big Switch Networks is the Cloud-First Networking company, bringing public cloud-style networking and hybrid cloud consistency to organizations around the world. The company provides data center switching, monitoring, visibility and security solutions for on-premises enterprise cloud, public cloud and multi-cloud environments that enable companies of all sizes to dramatically increase operational efficiency, increase business agility, and reduce networking costs. Big Switch was founded in 2010, with roots in the original Stanford research team that invented software-defined networking. Big Switch has strategic partnerships with Dell EMC, HPE and Edgecore, delivering innovative software on industry-standard open networking hardware. Since its founding the company has been an active member and contributor to multiple open source communities. Big Switch Networks is headquartered in Santa Clara, CA, with a dedicated presence across more than 25 countries. To learn more: www.bigswitch.com 
168|Bikanta|Bikanta is introducing a revolutionary platform nanotechnology based on nanodiamonds to push the boundaries of current optical imaging methods for medical diagnostics.The potential of nanotechnology in the near-term is to act as tools to study disease. The long-term impact of nanomedicine will be the story of extending surgical control to the cellular level.
169|Bildero|"Our product is the Bildero Solution which is dynamic imaging based on a single source image technology, easy upload and storage with no limits of resolution, size, weight.
Main features of the Bildero Solution are:
- common and easy of access, universal and affordable solution for both an average Internet user and professional webmaster- revolutionary in the point of end user perception and experience - extreme high quality, dynamic images available via new media (via the Internet on computers, mobile devices tablets, smartphones)
- available for every pocket and for everybody who wants to show images over the web
- one place to save and delivering high resolutions imges, video and pdf to use in e-shops, b2b, 
Bildero SaaS Ã¢â‚¬â€œ a webmasters get accounts in the cloud servers with geolocation and next step is to integrate their Bildero Space with any portal or online shop through offered modules or API. Payment for space and generated traffic.Bildero Server Ã¢â‚¬â€œ selling application to companies having their own servers and infrastructure and not interested in SaaS model but only monthly license or one-off purchase
Bildero Social - combining the Bildero Server with applications which enable integrating with their own or external social portal
Bildero WEB Ã¢â‚¬â€œ a website with login and password which enables images upload and passing the link on. Free and Premium account."
170|Bilende Technologies|Bilende is a strategic design consultancy studio based in Istanbul. It is a technology integrator specializing in creative, measurable, usable web utilities with a human-centric approach.As an output of rapidly incrementing production and consumption volumes, Bilende develops projects using agile and evolving methodologies. It embraces development models introducing its customers to each phase of the project, from analysis, technical and visual design to development and test.
171|BindHQ|BindHQ helps insurance professionals process sales, leverage knowledge from across their organization and manage their relationships via an intuitive web based interface.Our technology allows our customers to leverage the collective knowledge of their teams and public data sources to sell their insurance products more efficiently.The cloud based platform allows users to access their system from any modern web browser and makes use of geo data, pattern recognition and data mining to help insurance agencies sell more to new and existing customers.
172|BioDatomics|"BioDatomics is a highly functional software tool for bio-researchers who are involved in the â€œomicsâ€ field of scientific research.  The ""omic sciences"" include fields of study in biological research that are concerned with the interactions between complex living entities. These can be a species, a population, an individual, cells, proteins, RNA, and DNA.  This research takes into account a number of factors related to the environmental and ecosystem."
173|BioDetego|BioDetego is developing, VASPfore, a new biomarker test for selecting cancer treatment protocols.  The VASP marker provides information that will direct chemotherapy to high risk patients who will likely benefit from treatment while preventing costly and harmful treatment of low risk patients.  BioDetego predicts that the VASPfore will provide payors enormous savings (>$150MM/year) by reducing total treatment costs.The company is led by David Zuzga, Ph.D., Founder and CEO, a research scientist with expertise in cell and molecular biology at La Salle University & Giovanni M. Pitari, M.D., Ph.D. Founder and CSO, a physician and research scientist with expertise in Translational Oncology.
174|BioExx Specialty Proteins|BioExx is the first company to develop and commercialize Canola/Rapeseed protein,  a novel  protein resource that is functional and nutritionally complete.Founded in 2003 and headquartered in Toronto, Canada, BioExx is a Canadian company that has pioneered a groundbreaking, proprietary technology to naturally process oilseeds into food-grade oil and proteins, at low temperatures, without the use of noxious solvents. This results in the creation of a much higher quality protein than has ever been possible before.
175|BioPharma Manufacturing Solutions|BioPharma Manufacturing Solutions, Inc., a development stage company, engages in the provision of technology transfer and scale-up, project management, process design, value engineering, process automation, and process validation consulting services to biotechnology and pharmaceutical manufacturers in the life sciences industry. It assists its clients in various phases of biopharmaceutical project lifecycle from concept, risk assessment, and design through installation, validation, and Food and Drug Administration approval. The company was formerly known as Beachwood Acquisition Corporation and changed its name to BioPharma Manufacturing Solutions, Inc. in August 2011. BioPharma Manufacturing Solutions, Inc. was founded in 2011 and is based in Seal Beach, California.
176|Bioaxial|Bioaxial develops new technology for super-resolved fluorescence microscopy for extended imaging of live cells with a resolution of less than 100 nanometers. The optical modules manufactured by Bioaxial adapt as an add-on for commercial microscopes. Bioaxial has filed four patents and has acquired a fifth, all of which are held exclusively by the company.
177|BiometryCloud|Simple, fast and robust facial recognition from mobile devices done on the cloud.Cloud based pattern recognition web services, APIs and libraries for mobile devices. We specialize in frontal facial recognition with less than 1 second per transaction. We charge a monthly subscription fee dependent on the amount of faces enrolled by you starting from free for less than 50 users.
178|Biozone Pharmaceuticals|BioZone Pharmaceuticals (OTC BB: BZNE) is a public pharmaceutical company that specializes in drug development, manufacturing, and marketing. The company has developed proprietary drug delivery technology that has enabled and revolutionized the administration of drugs that are difficult to formulate. The application of this technology allows the company to pursue reformulation of generic drugs and pursue a low-risk regulatory pathway for NDA approval. Additionally, BioZone provides oral, topical, and injectable drug products for anesthesia, infectious diseases, metabolic diseases, and oncology, and offers a unique line of dermatology products for a variety of dermatological diseases. Flagship products include P&S Liquid and Shampoo and the GlyDerm dermatological care line. The company is currently looking to agressively expand in both size and product line.
179|Biscayne Pharmaceuticals|Biscayne Pharmaceuticals, Inc. operates as a biopharmaceutical company that develops therapies based on growth hormone-releasing hormone (GHRH) analogs. The compounds include GHRH antagonists in development for the treatment of cancer, including castrate-resistant prostate cancer, and GHRH agonists for the repair of cardiac damage in heart disease patients. The company was incorporated in 2012 and is headquartered in Miami, Florida.
180|Bitrockr|bitrockr enables the user to track and aggregate data in one central platform by connecting a wide array of 3rd party devices or applications and also by inputting data directly into the platform using the web or mobile applications. bitrockr then using machine learning and statistical analysis, provides user with deep analysis and insights on various aspects of the users lifestyle. bitrockr also works as a secure personal data vault of the user by which the user can track their life and recall information when required. The user can also connect the platform with other products and services which require specific personal information to work.The projected market size is very large as data has unlimited uses and utilization and with the increasing influx of new trackers and QS devices, users are bond to make use of the platform to gather maximum output from the data they generate using the trackers. Also, there is a rising trend in digital and external environments which provide services, catered to the user's personality and needs. Such platforms would connect to the bitrockr platform and gain access to specific data sets which define the user.
181|Bizen|Helping business owners make better decisions.Improving the efficiency of local commerce may sound like a grandiose goal, but we feel it is completely doable. We believe in a world with more business owners, not less. In order to have more business owners, we need to help small businesses be more successful. And right now, only the big guys are enjoying the efficiencies that come from better data, more advanced tools and automated integration.Bizen changes the efficiency of local commerce:Provides peace of mind to franchise and small-business owners by helping them spot sales trends and measure key performance indicatorsIntegrates directly with point-of-sale systemsSends SMS Ã¢â‚¬Å“CliffsNotesÃ¢â‚¬Â to business owners summarizing each dayÃ¢â‚¬â„¢s dataBizen was born directly from our need while managing our own franchise locations. After receiving seed funding from Jumpstart Foundry, we have converted our exclusive tools into a software service available to retail and food-service franchises.Bizen was founded by Jackson Miller and is currently incubating at the Nashville Entrepreneur Center.
182|Blackstone Digital Agency|BLACKSTONE is a full-services digital agency with strong focus on communications, creative website design, brand campaign, digital strategy, social media, online marketing, interactive media productions, mobile apps, SEO, and Cyber Defence in Jakarta Indonesia, and New York City, U.S.A.Blackstone provided small to large international organisations and public figure to celebrities with the very best in class branding, publications, marketing, and creative services.Blackstone Indonesia use imagination, creative solutions, strategy, high-end technologies and intelligent action to create creative communications and attractive digital experiences that excite, inspire and challenging motivated to engage users. Perfect for Startups & Small Businesses to Fortune 500s.
183|Blaze.io|Blaze is a new technology for accelerating the speed of Websites and cutting bandwidth costs. We do this by dynamically optimizing the frontend code to make pages load more efficiently. Blaze is a cloud based service that requires no software, no hardware and no code changes. Blaze can be deployed in less than 1 hour and can integrate with your existing CDN services.Who is it for?Blaze is used by performance architects or operations engineers to accelerate their sites for their users. Blaze can be used on any Web site or intranet application - both static & dynamic. It requires no new hardware or code changes. Why use BLAZE?Improving website speed will reduce customer abandonment & improve your google rank. Blaze also significantly cuts operating costs by improving site efficiency. Deploying Blaze on your site is fast and simple.
184|BlenderHouse|BlenderHouse is based in Pittsburgh Pennsylvania. We were founded by a senior management team with significant experience developing and commercializing data intensive process improvement applications in numerous markets. Our co-founders and key employees have worked together for years and share a passion for working with customers to improve quality and increase productivity. BlenderHouse products are built upon our proprietary Applied Learning Engineâ„¢ algorithms designed specifically to improve productivity and efficiency.
185|Blizuu|Blizuu is a B2B business network that aims to optimize the company costs, expanding sales network and cutting the acquisition costs. Blizuu provides all the information required to make the best decision while making your corporate purchasing.Blizuu provide access a large numbers of suppliers, know their products and services in detail, quote and place purchase orders besides watching the rating and comments given by other customers
186|Bloggerce|Bloggerce is a free service that allows bloggers to quickly create easily printable PDF compilations of their favorite posts for their readers to download.Bloggerce allows readers to get caught up on what they've missed or to get started on a new blog by reading past content from the blog's archives selected by the blogger. Bloggerce gives bloggers a mini-site where readers can download their PDFs. Publishing a PDF to Bloggerce.com makes it discoverable from a new blog directory. Bloggerce is free for both bloggers and readers.
187|Blogvio|1. What do you do?Blogvio makes it easy for anyone to design and publish custom widgets.2. What problem do you solve?Their mission is to fix content distribution. They help users identify and amplify their best content with in-depth analytics (interaction, impressions, engagement, coverage, etc.) while also providing tools to help them increase engagement and views. 3. How are you disruptive?Their infrastructure allows us to connect any type of content source and put it on your website in branded, customizable widgets. There are no files to download and the widgets update in the background, with no action required by the users. Because their widgets are cloud based, users don't need to install any files.4. What's your revenue model?Freemium based subscription model.5. What's the potential size of your market?Blogvio is great for publishers, agencies and organisations that publish media content regularly. Although Blogvio Compositions work on any website, their main target are platforms for content publishing like WordPress, Tumblr, Blogger, Wix, Weebly, Yola, SquareSpace, etc.
188|Blu Wireless Technology|Blu Wireless Technology is a Silicon IP company already demonstrating its 60GHz technology to meet this emerging WiGig standard. Targeting power sensitive mobile applications as well as long range access points, licensing their technology as a complete System IP solution.Their technology delivers data rates of multiple Gbps and ranges over 300m, but thereâ€™s a lot more to be gained by choosing to work with us. Their sophisticated system expertise, from mmWave silicon IP to intelligent, deep domain technology and market understanding, means that their partners and customers can have confidence in their promise to deliver a unique product that sets them apart from the competition, in a cost-effective and timely manner.
189|Blue Lava Technologies|Blue Lava is a Hawaii-based venture developing technology to facilitate digital media organization.  Their flagship product, iLovePhotos, is a free desktop software application that uses facial detection to help people organize, share, and enjoy their photos.  Their software applies advanced technology to automatically create personalized slideshows that can be shared with friends and watched on the web, iPod, iPhone, or TV.
190|Bluefin Labs|Bluefin Labs is a social TV analytics company providing solutions to brand advertisers, advertising agencies and TV networks. Bluefin Labsâ€™ technology, data and professional services enable clients to tap into data at scale that links peopleâ€™s social media commentary to the shows and commercials they watch on TV. Grounded in 15 years of cognitive science and machine learning research at the MIT Media Lab, Bluefin Labs was founded in 2008 and has offices in Cambridge, MA and New York, NY. Bluefin Labs was acquired by Twitter on February 5, 2013.For more about Bluefin Labs, visit www.bluefinlabs.com.
191|Bluetector|Bluetector focuses on the treatment of manure and biogas digestate.Farms have much too much manure and not enough land to spread their manure. Farmers have to transport their manure over hundreds of kilometers and pay up to $ 25 per cubic meter. Our technology costs $ 4 per m3 and turns the manure into clean water, eliminating the need for transport.
192|Bluetrain.io|Bluetrain.io is a cloud CMS that is transforming how developers build and manage responsive websites by bundling all core CMS functions in a massively scaleable utility. Our platform enables developers to create professional enterprise websites much faster than ever before, and without custom Php or .Net coding.  Unlike older CMS platforms like WordPress, SiteCore and Drupal, Bluetrain.io enables developers, designers, information architects to collaboratively build websites on the cloud, while enabling marketers to maintain and update responsive websites across mobile, tablet and desktop devices.
193|Bluff Wars|Bluff Wars, a long-awaited social game application with built in longevity and mass viral appeal was launched in the App Store October 2013. Bluff Wars is a â€˜hysterical game of deceptionâ€™, in which users engage in friendly competition while sharing laughs, imagination, and wit. The objective of the game is simple: players must invent convincing answers to a series of ridiculous questions and gain points by tricking friends into guessing their answers over the real ones. Thousands of 5 star user ratings!
194|BodeTree|BodeTree syncs directly with you business financial informationâ€”bank accounts, credit cards, accounting software (Intuit and Xero)â€”to create an online financial analytics dashboard complete with professional reports and deep insights that typically require the use of an expensive consultant. We do this by taking the best financial tools used by Fortune 500 companies and making them simple, affordable, and easy to use for small businesses.
195|Boni|Boni is Istanbul born technology company providing physical layer for the mobile applications. Company is designing and manufacturing beacon based solutions, SDK and API which is delivering indoor analytics, marketing and navigation solutions.LoudSteps is Indoor Discovery and Navigation Solution for Visually Impaired. The application running trough-out Europe to Middle East.  It has been awarded by SOLAL Marketing awards and nominated by Global Mobile Awards in 2015Technically speaking, any brand of Bluetooth Low Energy transmitters have been manufacturing in house and Location Evaluation System and Methods are approved patent protected.
196|BookTour|BookTour is a free directory of author events. It allows users to find when certain authors are coming to a local area for a presentation or a talk in a simple manner. Using a simple interface the author can create a personal profile page that displays their biography, book, and upcoming events. Events can also be added by people who know about local events concerning the author. With that users are able to search the database for not only their favorite authors in the area, but also look at lists of the most popular events in town. Users are allowed to subscribe to their authors in a RSS feed type format such that they are constantly updated with their authors status. BookTour is based in San Francisco.
197|Booster.ly|Boosterly is a content marketing platform designed for publishers and advertisers, which allows to extend the scope and efficiency of advertisements.Boosterly enables publishers to publish content that reach a wider group of clients and help advertisers win new customers and gain bigger sales profits.Boosterly was launched on June 7, 2014 in Poland.
198|Bottlenose|Bottlenose is a cognitive computing company that makes data analysis easy. By automating machine learning, data mining, and predictive analytics, Bottlenose helps our clients spend more time extracting insights and less time managing data.Our platform, Nerve CenterÂ®, makes BI live and interactive. It detects patterns and trends in massive amounts of rapidly changing data to help customers achieve Business Awareness â€“ complete insight into what is going on in and around the organization.Follow @bottlenoseapp, @novaspivack and @dominiek on Twitter to keep up with their progress.
199|Brain Rack Industries Inc.|Brain Rack is a business development agency with flexible solutions for technology startups that are ready to build sales teams and distribution channels. They use an investment approach when identifying clients with the intention of becoming equity investors upon reaching milestones with their portfolio clients.The Company was founded by two business development professionals with experience building both public and private businesses in North America and Europe. The team saw a consistent challenge for technology companies when trying to build a scalable business after developing their minimum viable product. Technical founders spend enormous amounts of time creating automated processes in order to avoid having voice conversations with clients. Business to Business models need to understand their customers needs and avoid research biases by completing as many face to face interviews as possible.The same challenges exist when technical founders attempt to hire sales people. They don't understand the enormous risk associated with hiring the wrong person, and the reality is that it takes several tests to find the right sales person for your startup.
200|Brain Tunnelgenix Technologies|BTT Corp. is the first company to bring together both diagnosticand therapeutic technology based on a biological discovery.We are a company that uniquely harnesses the power of life by combining biological discoveries with the creation of revolutionary technologies that will impact virtually every aspect of life.This technological platform promises to set a new standard in health care while improving care in hospital wards, emergency rooms, operating rooms, doctorsâ€™ offices, ambulances and family homes. The BTT systems address some of the most prevalent public health problems currently facing the world today, such as global warming, bird flu and the swine flu pandemic as well as hospital infection, the shortage of nurses, decreased blood supply and increased health care costs. BTT technologies provide the answers to some of today's most important medical, professional, military and athletic needs.BTT Corp. has an unmatched portfolio of proprietary products, including Dr. Marc Abreu's revolutionary Brain Temperature Tunnelâ„¢ product line â€” both diagnostic and therapeutic. This portfolio provides a strong foundation for sustainable growth and success with a rare and unique capacity for a rapid flow of innovative, patented products. Our platform is powered by combining unparalleled innovation with the most advanced sensing systems, hardware and software to provide revolutionary solutions to improve the quality of life in a universal fashion around the world.Our technologies are protected by a multi-million dollar investment in patents worldwide. We have more than 60 patents and patent applications in the U.S. and in more than 40 other countries â€” representing 85% of the world's purchasing power.BTT Corp. looks to a future of unprecedented potential, and by combining the talents of many dedicated people, we are poised to set the standards for many activities and industries. We invite you to get to know more about BTT Corp., its management team, its unrivaled biological discoveries and technologies and the products that will transform life around the world in the 21st century.
201|Brain in Hand|The Brain in Hand system uses assistive technology to help individuals to be their best â€“ confident, motivated, supported and in control. It supports individuals with conditions that will be there through their lifeâ€™s journey, such as autism or brain injury, or who need specific periods of support, ranging from anxiety support to mild cognitive impairment through stroke or ageing.
202|BrainStorm Cell Therapeutics|BrainStorm Cell Therapeutics (OTC.QB: BCLI) is a biotechnology company developing innovative, autologous stem cell therapies for highly debilitating neurodegenerative diseases such as Amyotrophic Lateral Sclerosis (ALS, also known as Lou Gehrig's disease), Multiple Sclerosis (MS) and Parkinsonâ€™s Disease (PD).NurOwnâ„¢ , our proprietary, first-of-its-kind technology for the propagation and differentiation of autologous Mesenchymal Stem Cells (MSCs) into NeuroTrophic Factor (NTF)-secreting cells and their transplantation at or near the site of damage, offers the hope of conquering neurodegenerative diseases.We are currently conducting a Phase IIa ALS clinical trial with NurOwn at the Hadassah University Medical Center in Jerusalem.  In this safety and preliminary efficacy trial, 12 patients will receive combined intramuscular and intrathecal administration of NurOwn cells in three cohorts with increasing doses. The study participants will be followed for three to six months after transplantation.The company also plans to begin a Phase II clinical trial in the USA in 2013, pending FDA approval.In February 2011, NurOwn was granted Orphan Drug designation by the FDA. Over 20 publications in leading scientific journals demonstrating NurOwn's mechanism of action, pharmacology and in vivo efficacy have been published by the scientific team.
203|Brand Embassy|Brand Embassy is an omnichannel cloud-based customer service platform providing integrated social media, messaging, live chat and AI-powered chatbot service. Customers such as T-Mobile, Vodafone, Alibaba, and Puma in 30+ countries have achieved 69% higher agent productivity, 61% higher sales conversions and have scaled operations by 300% with no additional headcount. Brand Embassy helps companies to accelerate the digital transformation of contact centers in an agile and scalable manner. The fast-growing company is headquartered in Prague, with offices in Boston, San Diego, London and Dubai. See more at www.brandembassy.com.See our CEO, Vit Horky, talking about the digital transformation in customer care here: https://youtu.be/V_JExmeiJKo 
204|Brand a Trend GmbH|"Brand a Trend GmbH is a privately funded start up and a leader in cloud based text analytics.Going into operations 2012,  the companyâ€˜s focus is the creation of a new generation of text ""understanding"" software.The companyâ€™s core product - SUMMICS- was developed in close collaboration with industry leaders in Games Market, Community Management, Market Research and Customer Care.Today it is used by Fortune 500 Co's in Entertainment, E-Commerce, Finance and many more industries. Brand a Trend GmbH is located in Heidelberg, one of Europesâ€˜s main science hubs for language technology and AI."
205|Brandizi|Brandizi is marketing magic for small businesses. Painless, professional marketing tools that makes our customers look like the genius they are. Brandizi is a technology company focused on Software as Services Solutions, (yes that means in the cloud). We provide a range of predictive and marketing tools to our customers empowering them to improve their marketing relationship efforts, managing prospects and clients from a single tool and gathering insights from social and other data sources. At the core, we help small businesses ask the right questions from the data they collect, and we tell them what to do next. What if your company's best message for every moment could reach each contact automatically?  What if your sales and marketing communications could be transparent, measurable, optimizable and repeatable?  What if your sales team could spend their time actually selling?  How much more would your company grow this year?
206|Breadcrumbtracking|BreadCrumbTracking.com provides software to managers of mobile workers. The software provides geo-based time-tracking for billing, paperless clocking-in and clocking-out, several exportable reports and complete workflow management solutions between staff, managers and customers. An IP-protected feature shows where their employees and mobile assets have been, and for how long, in an instant.
207|BreathalEyes|BreathalEyes developed its unique smart phone app because the market needed it. The app serves a potentially life-saving purpose: to instantly and inexpensively test an intoxicated person's Blood Alcohol Content (BAC) via one of the most accurate means available - Horizontal Gaze Nystagmus (HGN). The test tracks the involuntary fluctuations of the pupil as the eye looks at one position to the side of the face. This technology has never been available on a smart phone device.
208|BrieFix|"Briefix is an interactive online tool that generates complete and effective briefs. It is being developed for the graphic design field and it offers personalized solutions for design projects covering websites and logos. 
80% of clients find it very difficult to complete a brief and as a result designers receive incomplete or confusing design briefs. Briefix aims to solve these problems by inspiring clients to give all the relevant information needed in an easy and intuitive manner. The tool also organizes valuable information into a single comprehensible document which allows creatives to get right to work.
 It will save time for designers and design agencies and will significantly add professionalism to their business. They will also be able to implement this solution on their websites with their own branding, to customize sections of the Briefix tool as they wish and manage design projects in their dashboard."
209|Briefcase|"""More than 40 percent of recent U.S. college graduates are underemployed...""  ""Fewer than half of college graduates from (2009 on) found their first job within 12 months of graduating..."". The kind of data they need is longitudinal dataâ€¦what they need is better outcomes data from higher education institutions so that they know over time what models are the most successful for people, so parents and students can make a determination about what works well for them.The major challenges facing most university and college placement offices is assuring their students the broadest possible exposure to employment opportunities, followed closely by analysis of prior student employment outcomes, by major, location or other cohort factors. Briefcase solves both issues, beginning with optimizing employment exposure. Several major universities, representing over 189k students are already committed to the use of The Briefcase Platform to offset this issue and to bring transparency to their ecosystem.The present problem may be broken into two large categories; first: assisting current graduates in finding the best full-time employment opportunities given their own and related circumstances, and two: tracking, analyzing and reporting to aspirant graduates, their advisors and supporters as to the current and projected opportunities and outcomes associated with various areas (majors) of studies, eventually growing to include comparison between majors based on institution."
210|BrightBytes|Technology has become indispensable and essential to modern learning.  BrightBytes provides the first SaaS-based data analytics platform that measures and links technology use in education to learning outcomes. They are obsessed with leveraging data to understand and improve learning with technology.Their team is made up of Data Scientists, Educational Researchers, Developers, and Data Visualization Experts.
211|Bugsnag|Bugsnag provides software development teams with an automated crash detection platform for their web and mobile applications.It has processed billions of application crashes from thousands of top technology companies, including Walmart, Genentech, SugarCRM, and Path.Bugsnag Inc. was founded by James Smith and Simon Maynard, launched in September 2012. It is based in San Francisco, California.
212|Bureo Skateboards|Bureo Skateboards designs and manufactures a unique line of sustainable skateboards, utilizing the growing amount of recyclable plastic waste from Chilean communities and coastlines. By offering recycled high-quality products, Bureo enables ethically conscious consumers to support and encourage recycling development and job growth for local inhabitants in Chile.
213|Burt|Burt is a big data analytics platform that helps media owners connect and analyze disparate data sources across multiple screens, departments and revenue channels.The company's award winning Software-as-a-Service platform allows customers to become more data driven, grow revenue by making smarter decisions faster, and strengthen relationships with their most profitable audience segments and advertisers.Founded in 2009, with offices in Gothenburg and New York City, Burt is profitable and growing rapidly, processing +1 terabyte of new customer data every day for leading media companies such as Conde Nast, Advance Digital, Bonnier, Schibsted, IDG, and Thomson Reuters.
214|Busbud|Busbud is a mobile app and platform that connects passengers to bus operators. It enables its users to search, compare, and book city-to-city bus tickets for any location and from any location.It is a comprehensive source of city-to-city bus schedules and tickets around the world, gathering schedules for over 10463 cities in 89 countries, in 10 languages and 15 currencies.Busbud was founded by Michael Gradek, LP Maurice, and Frederic Thouin in October, 2011. It is headquartered in Montreal City in QuÃ©bec, Canada.
215|Butterfleye Inc|Butterfleye offers an AI-powered, cloud-connected security camera for businesses.Butterfleye is a wireless security camera with facial recognition. Butterfleye streams in 1080p - includes motion detection, sound detection, privacy mode, facial recognition, 2-way audio, a built-in rechargeable battery, built-in storage (16GB), and free cloud HD video recordings. Butterfleye works day and night with its wide angle (120-degree), high-resolution sensors. Butterfleye is the most reliable WiFi camera; if the power or internet goes out, Butterfleye functions as normal and still captures all events. Butterfleye gives real-time alerts customized to your choosing and brings peace of mind - whenever you are away, you're still in the know.
216|Buyosphere|"The power of the social web to build a valuable knowledge base has been proven. For example, having access to the opinions and experience of others has forever changed the way we choose a holiday destination. Buyosphere is leveraging the social web to build a knowledge base that will change the way we choose every product on the web. Buyosphere - it's the ""Quora"" for shopping."
