Jethro|Jethro is a performance acceleration engine that delivers interactive Business Intelligence (BI) on Big Data at Hadoop costs. Customers rely on Jethro to serve thousands of concurrent users analyzing tens of billions rows of data to support their business decisions. Actionable Business Intelligence mandates response time measured in seconds, up to...
Jildy|Jildy offers a mobile application for cutting social newsfeed clutter.The Jildy application automatically summarizes for you what groups of your friends are talking about, and allows you to get a quick overview of what's in your social newsfeed, without asking you to spend a lot of time browsing around.
Jobool|ATS and HRM for CIS Market
Jobspot|Jobspot is a P2P service company that utilizes agnostic software to help its users fulfill their everyday needs. It was founded in 2013 and is based in New York, United States.
Joshfire|Content publishers’ and service providers’ life has been dramatically complicated since the proliferation of mobiles, tablets and connected TVs. Indeed, every year they spend a lot of energy adapting their services to new devices. The Joshfire Factory radically simplifies this approach by streamlining and industrializing app development processes...
Jukedocs|Jukedocs was built on the fact that Knowledge, Ideas and Information mean nothing if they can't be shared, and the type of device you choose to share them from shouldn't stop you. Jukedocs cloud based content management software is truly revolutionizing the mobile worker and BYOD market shift that is taking place. The simplicity...
JumpIn|A social taxi booking and sharing mobile app, tailored for students.Book taxis. Save money. Meet new people
JumpSoft|JumpSoft is a Reston, VA based startup software company founded in 2009 that provides application assurance software. The company develops JumpCenter, a systems management product for application assurance. The product provides a patented dynamic engine for command and control to automate resiliency and fault recovery for applications. This unique...
Jumpstarter|Jumpstarter is a next-generation hosting platform for web developers. It makes it super fast and really easy to create and launch websites. Jumpstarter simplifies the developer's workflow which means less time spent on configuration and more time for coding.Benefits include SPEED and EASE:*One second installs - get web projects...
Junar|Junar powers the Data Economy by delivering the easiest-to-use, cloud-based Open Data platform. For innovative organizations, Junar is the fastest way to publish data. The Junar platform enables businesses, governments, and organizations to free their data to drive new opportunities, collaboration, and transparency. Some of the world's...
Juventas Therapeutics|Juventas Therapeutics is a privately-held clinical-stage biotechnology company developing a pipeline of regenerative therapies to treat lifeâ€“threatening diseases. Founded in 2007 with an exclusive license from the Cleveland Clinic, Juventas has transitioned its therapeutic platform from concept to initiation of mid-stage clinical trials....
KILTR|KILTR is a new media platform.The KILTR community creates and shares content that, at its core, is culturally relevant to you. KILTR is all about community, we promote sharing, collaborating and understanding, through a common cultural bond. We call this kind of content the Good Stuff. KILTR is a source of new media and social cultural...
KRAFTWERK|KRAFTWERK Renewable Power Solutions designs and builds power plants based on renewable energy.We create tailored solutions whichsatisfy individual customers' specific needsoffer private or institutional investors attractive investment opportunitiesBy optimizing energy costs and enabling the profitable sale of electricity, we create...
Kahuna|Kahuna creates highly personalized experiences for every buyer and every seller for the world’s leading marketplaces. Kahuna is the platform of choice for meeting the needs of marketplaces, using state of the art machine-learning technology to drive extreme personalization, product and pricing optimization, trust, and engagement. With more than 144...
Kaleo Software|Kaleo Answer Management captures and delivers knowledge in Q&A format. It finds common questions and automatically creates bite-sized answers that employees will actually use. Employees won't have to search for information, and experts won't have to keep answering the same questions.
Kamego|We are a brother and sister team that founded Kamego in 2013 in order to bring enterprise-quality web applications to the masses. We are designing software to make it easy for anyone to build complex database-backed web apps. No more disastrous spreadsheets, no more clunky enterprise software. Our product helps you unify information, processes and...
Kandid|Kandid is an application that enables its users to create private groups with friends and share their experiences in real time. It was launched on November 19, 2014, in San Francisco, California, United States.
Kareo|Kareo is the only cloud-based and complete medical technology platform purpose built to meet the unique needs of independent practices. Today we help over 35,000 providers in all 50 states run more efficient and profitable practices, while delivering outstanding patient care. In 2016, Kareo introduced the first technology platform that helps...
Karibu Solar|KARIBU Solar Power is an innovative social enterprise that makes high quality solar power affordable. We produce a modular solar lamp (solar panel + rechargeable battery + light) and employ an innovative social business model that allows the average Base of the Pyramid (BoP) consumer to enjoy the benefits of solar lighting and energy. By paying in...
KaritKarma|A hosted ERP solution provider in Bangladesh for Entry and Mid level enterprises.KaritKarma is the producer of BizRP (Business Resource Planner)
Karma Platform|Karma is a platform where business users can turn spreadsheets into customised business applications with a simple “drag & drop” to simplify complex everyday business administration duties.Adapting your business administration software to the ever-changing world is very expensive, slow and inefficient in large systems and error-prone...
KarmaKey|KarmaKey brings loyalty programs to the mobile world replacing traditional loyalty cards with a single mobile app where restaurant patrons can track, claim and redeem rewards easily on the go. KarmaKey provides customer analytics and marketing channels for restaurants to custom tailor loyalty programs based on a customers preferences and...
Kasisto|Founded in 2013, Kasisto enables financial institutions to service, engage and acquire customers via human-like, intelligent conversations – anytime, anywhere. Kasisto’s Conversational AI platform, KAI, powers omni-channel virtual assistants and chatbots who are fluent in banking across mobile apps, websites, messaging platforms, and voice-enabled...
Kato|Kato is fixing the problem of business communication - enabling teams to communicate faster and more efficiently, reduce email overload and easily access their organizational knowledge.We're on a mission to make life a little better -- to make our jobs easier and more pleasurable, to help businesses work more efficiently, to improve how we...
Kazaana|Kazaana is an interactive, moderated & safe, online & mobile platform where kids under 13 can become friends and share content, and can interact with their favorite content publishers, including brands and organizations like Discovery Kids and the Girl Scouts. Through the Kazaana mobile app, kids can add fun original and branded stickers to...
Keemotion|Keemotion delivers automated production solutions enhanced with coaching tools for basketball games. The production is professionally created thanks to a proprietary technology. Keemotion’ solution offers a large specter of advantages amongst which : -	The ability to capture and produce games at a very affordable price.-	The ability to...
Keepio|Show-off, discover, discuss and exchange the products you love.Keepio is primarily geared towards enthusiasts and collectors who are passionate about the things they own and want an easy way to catalog and share with those who have similar interests.
Kera|Kera's goal is to teach the world how to use software. Kera helps SaaS companies increase conversions and improve metrics such as usability, engagement and retention by providing a platform on which to onboard, train, analyze, and manage users. Kera's interactive walkthroughs and tutorials overlay live websites and allow authors...
Kereos|Kereos, Inc., a biotechnology company, develops targeted molecular imaging agents and therapeutics to detect and treat cancer and cardiovascular disease. The company offers KI-0001, a magnetic resonance imaging (MRI) agent for tumor detection that finds tumors and highlights growing regions in the tumor margin; and KI-100X, a targeted...
Kihon|Kihon is a collection of industry veterans who specialize in micro-transactional games with integrated social features.  Kihon has released three iOS titles to date: “Baby Monkey (going backwards on a pig)”, “SketchPhrase”, and “Dojo Danger”.  Each title is extremely polished, highly reviewed, and drastically unique.  Combined they give a sense of...
KinTrans|"Application translates any sign language to facilitate conversations between Deaf/Hard of Hearing employees and/or customers and hearing counterparts.  - The technology interprets sign language into voice and text; 
 - The system captures the voice of a speaker and translates it to text and signs using an avatarTogether, full..."
Kinesio Capture|Kinesio Capture, LLC develops motion analysis software for assessing human movement. It offers Kinesio Capture, a tool that enables coaches to analyze sports performance by measuring an athlete's ability to absorb, reduce, and produce force; and identify energy leakages and inefficiencies in their athletes. The company’s Kinesio Capture tool...
Kingfish Labs|Kingfish Labs, Inc. creates recommendation applications using Facebook data. The company provides Yoke, a match making application that uses Facebook data of people. The company was founded in 2011 and is based in Scarsdale, New York. As of September 13, 2012, Kingfish Labs, Inc. operates as a subsidiary of Contagious Media, LLC.
Kit Check|Kit Check is the leader in hospital pharmacy medication tracking and kit restocking automation. Kit Check provides cloud-hosted software combined with IoT technology to reduce kit replenishment time by 72-96% while simultaneously delivering higher accuracy and eliminating errors. In addition, the Narc Check product streamlines recording, waste...
Kites|Acquired by Cathay Pacific Asia Miles, Asia's leading frequent flyer and lifestyle rewards program.Kites builds and maintains millions of data fields for over 100 thousand points of interest in Asia. At the platform’s core is a real time framework that aggregates, enriches, reconciles, and deploys location data.
Kitman Labs|Kitman's mission is to enable sports team to win by increasing player availability through injury reduction. The company believes that winning has as much to do with science as it does with desire. By accurately capturing relevant athlete data and applying algorithms grounded in scientific research, Kitman's products and services...
Kitware|Kitware develops and supports open-source software in the fields of computer vision, medical imaging, visualization, 3D data publishing, and technical software development.Its solutions include Insight Segmentation and Registration Toolkit, an open-source software system to support the VisibleHuman project; CMake, a cross-platform open-source...
Kiwup|Kiwup is a app lab focusing on SaaS and marketplace models for SMBs.They launched Stamplia, an email templates marketplace, in June 2013.
Klood|Quickly comprehend the world's information.With Klood you can quickly comprehend the world's information. Organisations use Klood to monitor the narrative around their brands, competitors and industries. The human brain is poorly equipped to join the dots across vast quantities of unstructured data. Klood makes it possible to...
Knoda|Knoda is a technology company that provides users an app-based platform to make, track, rank and archive predictions. Knoda technology scores predictions and reports each user’s successes. The aggregated predictions represent a unique form of crowd-sourced content.
Kompyte.|Kompyte is a competitive intelligence tool designed to respond in real-time to its users’ competitors' online strategies. It is designed to learn about its users’ competitors’ online strategies in real-time, and respond to them in an easy and affordable way.Kompyte has reinvented the way companies compete on the Internet. Its users have...
Kona DataSearch|KonaSearch is an Enterprise Search solution that makes it easy for Salesforce users to find Sales & Service Cloud data including Custom Objects, Chatter Files and Content as well as data outside of SFDC including SharePoint and Box.net, right from your Salesforce desktop.Advanced Salesforce Search includes full text search for all fields of...
Konga Online Shopping|Konga.com is Nigeria's Online Marketplace.It is among the top three e-commerce sites in the country. Shopping categories on Konga.com include books, home appliances, mobile phones & tablets, office appliances & stationery, groceries, toys, computers, books, fashion, movies, music, etc.Less than one percent of Nigeria's...
Konnecti.com|Konnecti is the simplest place for you to build your company's online reputation... for FREEBecause Konnecti is where small and local businesses rate all the companies they work with now.Everyone from your Attorney to your Zamboni cleaner.And since these ratings include info like how long they've been working together and how much...
Kontest|18/03/2014 : Kontest raises 600,000€ with 3T Capital, Olivier Mathiot (co-founder, CEO at Priceminister), Gérald Sauvageon (Head of Entertainment at Google) and a group of business angels experts in Digital Advertising.Video announcement (subtitle in English) : https://www.youtube.com/watch?v=MFTxNfdhfUkKontest...
Kudan|We are accelerating the evolution of Virtuality (AR/MR/VR) and Robotics (automobile/drone/robot) by developing computer software algorithms classified as Artificial Perception (AP).Over the years Artificial Intelligence (AI) has become the backbone technology for machine vision, however it only consists of functionality...
Kudos Knowledge|Kudos Knowledge is a technology company with expertise in developing information products that harness semantic technology to solve global problems.  They develop information products in the knowledge management space and have a strong emphasis on using semantic technologies to drive their solutions by building applications on their semantic...
Kwaga|Evercontact is a Product of kwaga .it automatically updates address books by analyzing signature blocks in emails or from contact details found anywhere while browsing the web. Evercontact works for Gmail, Google Apps, and Outlook as well as for CRM systems. it is  an email assistant that automatically updates and creates contacts in address books...
Kwanji|Kwanji is an online FX comparison platform empowering businesses globally to trade more efficiently. Bridging both emerging and traditional markets, we’re partnered with FCA regulated brokers in the UK and beyond. Quickly compare and choose from multiple FX quotes in seconds, send funds and transact globally without being overcharged.
Kyron|Kyron analyze medical records of routine care to generate medical insights. They identify latent associations between conditions, interventions and outcomes to generate practice-based evidence.
LAFORGE Optical|LAFORGE is a company that designs and markets fashion-forward eyewear that sync with your smartphone to provide a layer of contextual relevant data that 'floats' out in front of you.
LIA|LIA, San Diego, Calif.-based mobile platform for distribution of rich, real-time content between marketing and sales teams at Global 2000 companies.
LIFT12|LIFT12 is a company that combines design, technology and big-data to create lifestyle brands. Their unique data-driven and customer-centric approach allows them to create fashion products that reflect market trends and address customers’ ever evolving needs.
LIFX|LIFX (pronounced LIFE-X) pioneered the smart light in 2012 with the first Wi Fi-enabled, multi-colored LED that’s controllable via a smart device. Designed to last over 22 years, LIFX offers the brightest, most flexible smart light for your home or office.LIFX works with Nest and other smart home devices to give consumers an easy way to...
LISNR|LISNR is a high frequency, inaudible technology; a communication protocol that sends data over audio. They use inaudible sound waves called Smart Tones™ to transmit information.  LISNR transmits customizable packets of data every second that enable proximity data transmission, second-screen functionality, authentication and low-fi device to device...
LTG Federal|LTG is a Virginia based Economically Disadvantaged Woman Owned Small Business (EDWOSB) that brings a management team with over 50 years of combined experience providing IT engineering and financial management services to federal and commercial customers. LTG provides data center infrastructure, performance and security engineering services to help...
Lumo Bodytech|Founded in 2011, Lumo Bodytech develops smart sensors and software to optimize human potential and empower you to be the best version of yourself. The Lumo Lift and Lumo Back posture and activity trackers provide actionable feedback to encourage you to stand tall and move more to promote a healthier, active lifestyle.Lumo was founded by...
LabArchives|LabArchives provides a web-based software solution for storing, organizing, sharing and publishing scientific data.  Much more than an Electronic Laboratory Notebook (ELN), LabArchives is a collaborative and publishing platform for research scientists.Also available in a locally installed version, LabArchives is used by scientists throughout...
LabMinds|LabMinds is a Robotics company that is developing the equivalent to 3D printing for liquids. The machine mixes extremely accurately dosed liquids and solids and mixes them while controlling environmental variables.The initial target market of LabMinds is life sciences laboratories, for which the machine is marketed as a way to avoid solution...
Ladera Labs|We are building a wireless internet-driven irrigation controller that is focused on being easy to use while saving water.
Lagoon|Enter Lagoon. We have built an innovative and novel device that measures water usage of the entire house. This measurement is relayed to web and mobile devices. This solves the pain of not knowing or understanding water usage. Lagoon informs the household of how they are using water and assists the water providers with water conservation efforts....
Webscale|Webscale is the world’s first and only integrated web application delivery solution that provides infinite proactive scalability, high performance, security and control in a single, powerful platform.Created on the foundation of seven years of PhD research into predictive analytics and itsapplication to the challenge of infrastructure auto...
Lamppost|Lamppost is a mobile nightlife and entertainment guide for London.Existing event guides struggle to show users relevant, actionable data about nightlife occurring around them in real-time. Lamppost solves that problem by providing a map-based display of club nights, concerts, performances and many other options with one touch.Users can...
Coursebase|Coursebase is an enterprise SaaS application for managing employee training. With a focus on UI/UX and analytics, Coursebase was designed to improve the way companies manage employee training.
LapSpace|LapSpace Medical was founded in 2011. It operates within the framework of the Misgav Venture Accelerator, part of The Trendines Group. The LapSpace team combines strong business and medical experience and knowledge.
Lat49|Lat49 is the online mapvertising system that brings geographically relevant advertising to users of online maps. By leveraging how visitors use maps online, lat49 serves geographically targeted display ads that are complimentary to current advertising models and change dynamically depending on where the user positions the map. This...
Latinda|Latinda is the Latin American app store that changes the way people buy, share and interact with each other to obtain mobile apps. Join us and promote your favorite apps/developers to receive discounts or virtual money which can be traded for the apps you want.
LaunchKey|LaunchKey is a part of iovation (https://www.iovation.com), the leader in online fraud prevention and device-based authentication. LaunchKey is a multifactor authentication (MFA) and realtime authorization platform that leverages the mobile devices end-users already own for password-free login, 2-step verification, step-up and...
LaunchLab|The LaunchLab serves as a hub that accelerates a community of entrepreneurs to a new level. Started and managed by Innovus, the university-industry interaction and innovation company of Stellenbosch University, the LaunchLab provides an array of business support services and management to ensure the successful development of entrepreneurial...
LaunchRock|"LaunchRock is an online platform that enables its users to create viral ""Launching Soon"" pages with built in sharing tools and analytics. Users can create landing pages within a short time and collect interest, increase sharing, and build their audience.LaunchRock pages help its clients incentivize and reward users for telling others..."
LawnStarter|LawnStarter is the easiest way to order lawn care. With us you can manage your lawn with the click of the button, and have access to top-notch customer service. We provide an unparalleled customer experience while helping hard-working lawn-trepreneurs grow their businesses.
LayerBoom|Layerboomâ€™s dynamic, open source-based virtual server cloud management solutions provide a powerful multi-tenant administration system that enables flexibility and agility in managing virtual private server cloud build out and maintenance. Layerboomâ€™s technologies are designed to be easy to deploy and manage, allowing IT professionals the...
LayerVault|LayerVault is simple version control for designers. It's a proprietary, cloud-based service that provides the best way to store, version, present and collaborate on design work. Its sync service is built specifically with creatives in mind. It's used and trusted by companies and organizations like Twitter, Pinterest, AIGA, the BBC,...
LeadSift|LeadSift generates qualified leads by mining publicly available social media data.
Leader Technologies|Leader Technologies Incorporated operates as a software development and marketing company. The company provides Leader Phone, a Web-managed conference calling system; Leader Dialog, which gives customers Leader Phone services; Leader Meeting Web conferencing, which allows customers to share presentations and documents online with Leader Phone;...
LeaderNation|LeaderNation is a web-based leadership development solution. The LeaderNation suite of tools enables consultants, coaches, and HR professionals to quickly create customized leadership competency models and 360 feedback surveys. LeaderNation is a cost-effective solution for employee development which assists organizations retain top talent and...
Leadformance|Leadformance is an international, highly specialized company that creates ‘BRIDGE’, a cross channel solution. The company focuses on a market niche that connects the online visitors of a brand's website to its point-of-sale network.Riding on the consumer buying behavior of ROPO (Research Online, Purchase Offline,) and SoLoMo (Social Local...
Jornaya|Jornaya is the consumer journey insight platform that provides marketers, data analysts, and compliance professionals with the highest-resolution view of the consumer buying journey. It is the only technology platform that witnesses both first- and third-party consumer interactions in real time and across devices. Meeting consumers at these moments...
Leadspace|Leadspace B2B Customer Data Platform empowers Sales and Marketing to find and convert their ideal customers through accurate, personalized engagement across all channels. By combining customers’ 1st party data with unparalleled 3rd party data coverage, intent signals and Artificial Intelligence, Leadspace provides a 360-degree view of customers...
Leap Motion|Leap Motion’s mission is to remove the barriers between people and technology.  Leap Motion's unprecedented hand tracking lets you reach into virtual and augmented reality to interact with new worlds. The company is currently partnering with major VR manufacturers to embed Leap Motion technology into mobile VR/AR headsets.
Leap.it|Leap2 is a social search platform that delivers relevant previews for web, images, videos, news, local listings, and more.Leap2 was founded in 2011 and is based in Kansas City, Kansas.
Leapfactor|Leapfactor provides breakthrough business apps to transform the way companies engage with its employees, business partners and customers.By combining mobile cloud services, prebuilt baseline modules and high-end user experience design, the Leapfactor apps are quickly deployed to create instant value without compromising on security, performance...
Homer|Homer is the global children’s media company behind the # 1 Learn-to-Read Program.Our vision is to give kids everywhere a better future – the nearly 24 million children in the US and almost 500 million children globally who need to learn to read.We set out to solve a simple but huge problem: teaching the world’s children to read.In America...
LearnSprout|MISSION:To help K-12 educators use data to analyze the past, understand the present, and anticipate the future.THE PROBLEM:K-12 districts collect an enormous amount of student data. Educators now recognize that data can inform decisions that improve student outcomes, but few are equipped to make sense of data in a timely manner. Efforts to...
LearnUpon|LearnUpon is a modern cloud-based LMS designed for enterprises, software companies, and training companies. Customers include TripAdvisor, Twilio, QuickBooks, and AllState. LearnUpon is SCORM and Tin Can compliant and allows you to quickly create your own exams, surveys and gamification badges. Our pricing is totally transparent and is displayed on...
LearnZillion|LearnZillion champions educators and provides them with curricular products for the new standards in digital and print. A flexible learning platform allows districts, schools, and teachers to use and tune high-quality curriculum to meet the needs of every student. Over 1 in 3 teachers use LearnZillion.
Learnmetrics|Learnmetrics develops applications that break educational data sets free from silos to help educators discover trends, explore patterns, and communicate insights faster and easier than ever before, helping all children reach their potential.
Leftronic|Leftronic is a Y Combinator-funded company that develops a web-based real-time dashboard application for monitoring a company's most important data.Leftronic business dashboards retrieve a company's metrics from popular services such as Google Analytics, Twitter, Zendesk and others, as well as receive custom metrics through a...
LegUP|LegUP is elevating sports performance through technology. GPS-enabled jerseys, concussion management systems and many other innovations are altering the way sports are played and understood. Changing market conditions around the study, training and expectations within all levels of athletics have created new opportunities to meet the needs of...
Legal Hero|Superior lawyers, enabled by efficiency-driving technology, all at fixed prices posted online for the world to see.
LegalSherpa|LegalSherpa was created to provide entrepreneurs the most cost effective option for filing trademark and copyright applications.Trademark Registration:  Obtaining a federal trademark registration amplifies the protection your mark receives, discourages others from using your mark, and provides greater legal remedies.  LegalSherpa provides an...
LetsVenture|LetsVenture is an online funding platform that enables startups looking to raise seed capital to create investment ready profiles online, and connect to accredited investors. The platform also allows startups to get their business plans reviewed by its team as well as connect to mentors. It supports startups in the funding closure process through...
Lexity|Lexity is the one-stop-shop of Ecommerce services for SMBs. Lexity Commerce Central is the PaaS cloud platform for Ecommerce, and comes with its own App Store that makes it easy for online retailers to add apps that range from Analytics to Pinterest management, with a single click.Commerce Central supports millions of merchants hosted on...
Lexpertia.com|Lexpertia is a Q&A website that uses semantic technologies and other web applications to enable business men and entrepreneurs to find top ranked law firms in Europe and get  on-line legal assessment.Services provided:- Ask confidential legal questions to qualified lawyers in your city.- Get multiple answers and hire the right...
Liaison Technologies|Liaison Technologies provides data management and integration solutions to integrate, transform, harmonize, manage, and secure critical business data on-premise or in the cloud. It offers business-to-business and application-to-application integration, and data transformation services; on-premise and cloud-based data security solutions; cloud...
LifeBio|LifeBio helps people of all ages and backgrounds to capture life stories. Collaborative tools on the internet build online autobiographies, and users can even create a hardcover edition of their own book. Memory Journals, Phone Recording, and Video Recording Kits are all options that make writing your own story and memories or interviewing a loved...
LifeMap Solutions, Inc.|LifeMap Solutions is a subsidiary of BioTime, inc that develops innovative digital health solutions in partnership with the Icahn Institute for genomics and multiscale biology. The company develops a m-Health platform that integrates disparate sources of information to generate an accurate picture of an individual's health. LifeMap...
LiftMetrix|LiftMetrix optimizes the value of your growing investment in social marketing by turning raw measurement data into specific ROI metrics and recommendations. LiftMetrix moves you well beyond social analytics and superficial metrics to a deeper level of business intelligence. With LiftMetrix, you finally have a proven, powerful way to ensure that...
Likeable Local|Likeable Local offers scalable, integrated software solutions for small businesses to create, enhance, and manage their social media presence. Founded in 2012 by Dave Kerpen as a spin-off of Likeable Media, a highly successful social media marketing firm which Dave founded with his wife Carrie. Likeable Local has built an easy-to-use product that...
Limitlesslane|Limitlesslane is a password and digital life manager that enables its users to store and manage their passwords in a secure vault. It was launched on November 18, 2012, and is based in Los Angeles, California, United States.
Linebacker|Linebacker, Inc. was founded by David Sybert, MD, anesthesiologist and chairman of the Department of Anesthesiology at Riverside Methodist Hospital in Columbus, Ohio. A highly respected physician and entrepreneur, Dr. Sybert formed Linebacker, Inc., formerly SyberMed Enterprises, to focus on introducing innovative device solutions to some very...
LinguaSys|LinguaSys was formed in March of 2010 by three founders with over thirty years of combined experience in the Human Language Technology Space.  Two of the founders brought extensive Intellectual Property to the team, so LinguaSys had their first product to the market within three months of creation.  Today, we have offices in three countries,...
Link Trigger|LinkTrigger gives people a convenient mode of access to websites and files on their computers.  The company provides software that makes Internet browsing tools easily usable from spreadsheets, word processors, and all other programs without installing any plug-ins.For example: With LinkTrigger, a user may launch web browser directly to...
Linko Inc.|Linko Inc. is headquartered in San Francisco, California and has the main development studio in Berlin, Germany. Linko Inc. was founded by veteran entrepreneurs Mikko Alasaarela and Vesa Per
Linksy|Linksy helps busy marketers tap their employees, customers, and fans to spread their message on social sites.
Linkurious|Linkurious is an award-winning startup that helps government agencies and Fortune 500 companies identify and investigate insights in complex connected data. Linkurious’ graph visualization and analysis platform is used for fraud detection, intelligence, anti-money laundering or cybersecurity. Linkurious is a privately held company and is...
Liquid Robotics|Liquid Robotics designs and manufactures the Wave Glider, the first wave and solar powered unmanned ocean robot. With our partners, we address many of the planet’s greatest challenges, by transforming how to assess, monitor, and protect the ocean. We solve critical problems for defense, commercial, and science customers. Visit...
Listen Up|ListenUp.fm helps artists monetize their fan base on streaming music platforms.ListenUp.fm helps music industry professionals identify their most vital fans. Through the use of our app, fans provide us with data on their music listening and sharing patterns. In turn, fans receive rewards from their favorite bands in the form of merchandise,...
Litbloc|Litbloc grabs all things quirky, viral and beautiful from the web and packs content into shareable nuggets of information.
Little Big Things|They're a company based in sunny California bent on creating cool things. They believe that little products made by small teams can have large and disruptive tendencies.
Little Quest|Little Quest is an online platform that enables its users to locate, review, and book spots for children’s events.Little Quest was launched in 2013 and is based in California.
Live Mobile|LiveMobile develops carrier grade mobile services and solutions for mobile network operators and their subscribers.
LiveAction|LiveAction is an enterprise software company that simplifies the network for better digital experiences by providing continuous insight, service assurance and control of enterprise networks. Our award-winning network performance and analytics platform, LiveNX, offers a deep understanding of networks and applies situational awareness to accelerate...
LiveNinja|LiveNinja is on a mission to help people around the world get the service and assistance they need; anytime, anywhere. To do so, they offer unique communication tools that enable businesses to better serve and understand their customers. LiveNinja Messenger, their latest app, simplifies customer communication by bringing each conversation into one...
LivePerson|LivePerson makes life easier by transforming how people communicate with brands. Our 18,000 customers, including leading brands like Citibank, HSBC, Orange, and The Home Depot, use our conversational commerce solutions to orchestrate humans and AI, at scale, and create a convenient, deeply personal relationship — a conversational relationship —...
LiveStories|LiveStories drives outreach and better decisions using civic data—how communities live, learn, work, and play. Its all-in-one data platform makes it easy to analyze local data, get benchmarks, and create interactive stories.Its customers span government, public health, and business, including the AARP, Gates Foundation, Americans for...
Lively Inc.|Lively (www.mylively.com) keeps older adults living independently longer. It provides an activity-sharing experience with its product using passive activity sensors that are applied to everyday objects in an older adult's home and LivelyGram, which gives family members a way to share the events of their life with elder loved ones through...
LivelyFeed|LivelyFeed is group messaging turned social. Chat with your friends in groups and push your favorite moments to your collaborative public blog to share your best experiences with the World. Stay in close communication with your groups of friends no matter where you are with LivelyFeed's mobile and desktop applications.
Livestation|Livestation is an online platform that distributes live television and radio broadcasts over a data network. It is partnered with global live news channels to give its viewers access to quality live news coverage. Livestation can be accessed using any device, including personal computers, mobile phones, and televisions. It offers a full live...
Lob|Lob provides the building blocks for developers to automate the offline world. Enterprise companies use Lob’s suite of APIs to mail fully dynamic and personalized customer communications with print media. We provide insight into deliverability with piece-by-piece tracing and utilize our proprietary Print Delivery Network to streamline production...
Lobster|Lobster is a platform which enables brands, agencies and the media to licence visual content directly from social media users. Using pioneering AI technology, it trawls through all of the main social networks (Instagram, Flickr, Facebook, Vk, YouTube, Vimeo), along with several of the largest cloud storage providers. Billions of affordable images...
Local Energy Technologies|Local Energy Technologies, LLC creates software and hardware solutions for energy monitoring, metering, and sales in emerging markets. The products expand electricity access and also improve the way that energy distribution and sales take place. The company was incorporated in 2012 and is based in Arlington, Virginia.
LocalGuiding|Experience unique tours and local activities! Book from local people in hundreds of cities worldwide... or offer your own unique experiences.
LocalMed|LocalMed was founded in 2012 with a simple vision: make scheduling online appointments easy for both patients and providers, beginning with the dental industry. When our team first started exploring the concept, we were repeatedly told by industry experts that what we were attempting was impossible. Fast-forward several years later and over...
LocalView|LocalView is flipping the daily deal model on its head. Customers no longer have to purchase deals from sites like Groupon and LivingSocial, instead, use deals for free on LocalView. While you're checking out our deals, find something to do, snap a picture of your favorite dish or meet your friends for a happy hour.
Localisto|Localisto is a new way to discover your community. Find topics and events that matter to you with location-based search and preference filters. Engage by contributing your feedback with interactive surveys.Their  vision is to make civic engagement easy and more enjoyable. Localisto takes the stress out of finding public meetings and allows you...
company_name|description
Loci Controls|Loci Controls is the leader in automated landfill gas collection. We utilize a unique and patent pending combination of wellhead-mounted hardware and cloud-based analytics and monitoring to optimize gas collection, reduce fugitive emissions, and maximize profitability for customers nationwide.Founded in 2013 by MIT engineers, and led by a CEO...
Locket|Locket is an Android lock screen company. Its product portfolio includes Locket App, an application that enables users to see trending content on the lock screen, and Locket Engage SDK, a re-engagement Android platform that allows app publishers to re-engage users with their content via the lock screen.
Locu|Locu helps local businesses be found. When businesses add their street address, phone number, hours of operation, and menus / service lists to Locu, Locu gets them on the map in front of over 200 million potential customers online. Instead of having to use multiple sites to manage their business listings and showcase their products and...
Logentries|Logentries is a leading SaaS-delivered log management and analytics service, developed to make machine-generated log data easily accessible to developers, operations, and business analytics customers. While traditional log management and analytics solutions require advanced technical skills to use, and are costly to set-up, Logentries provides an...
LogicLoop|LogicLoop (a subsidiary of Duonox) is currently in stealth mode and is finalising a technology management offering aimed at smaller businesses and Managed Service Providers. LogicLoop expects to have product to market before 2012....
Logicalware|Smart, efficient multi-channel customer service softwareLogicalware MailManager is a cloud-based customer support solution for the efficient management of inbound email and social media enquiries. MailManager is easy to set up and ensures that your customers’ enquiries are automatically distributed to the right people, enabling them to...
LoiLo|LoiLo creates and provides a movie processing engine system. Super LoiLoScope is the worldâ€™s first and only movie editing software that has GPU acceleration high speed movie processing engine and movie processing system using GPU and high speed encoding using CUDA-Accelerated Encode.Application Features:â€¢	Super LoiLoScope is a first...
Loku|As featured in WSJ, Techcrunch, CNET, FastCompany, VB, GigaOm and more...Loku makes it fun to get out and explore your city.Loku provides personalized local recommendations for things to do (restaurants, concerts, bars, bowling, dog parks, sports, and more) along with social recommendations that match (suggesting friends who would enjoy...
Looker|Established in 2011, Looker is an inventive software company that focuses on the intersection of economics and engineering—helping customers use data to achieve success. Approaching the Business Intelligence (BI) industry in a new way, Looker believes that businesses can only thrive when information is easily accessible and consistently defined...
Loopback|"Founded in 2009, Loopback Analytics is a pioneer in empowering health systems and post-acute care organizations to more effectively manage care transitions and reimbursement challenges in a ""pay-for-outcome"" environment. The company's comprehensive management platform helps identify at-risk patient populations, match intervention and..."
Loopt|Loopt is a social service that connects people to their community.Loopt's mobile application and website give users the inside scoop wherever they go — tapping into local intelligence about places, making it easy to find friends and track down the best deals. Devices with Loopt include iPhone, iPod Touch and Android.Loopt has more than...
